AMOUNT,CHITS_GROUP_ID,CUSTOMER_ID,STR,PAYMENT_DATE_TIME,PAYMENT_DATE,TXN_DATE_TIME,TXN_DATE,USER_GOAL_ID,UTR_NO,VENDOR_TXN_ID,PAYMENT_MODE
1000,2070676,1880668,C59823521667272237891,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2077792,29903282521,2077792T1667272340234,UPI
2000,2341409,2380996,C61194391667272394515,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381091,29903282521,2381091T1667272516820,UPI
1000,1853806,1795210,C60725911667272697894,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1855447,29903282521,1855447T1667272803285,UPI
1000,2015860,2024515,C60984981667272863206,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2024645,29903282521,2024645T1667272966627,UPI
250,647765,692493,C1402161667272968690,2022-11-02,2022-11-02,2022-11-01,2022-11-01,692506,29903282521,692506T1667273076614,UPI
1000,2015860,2022721,C60981641667273883794,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2022876,29903282521,2022876T1667273981362,UPI
2000,1736176,1791080,C60721891667273945144,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1791425,29903282521,1791425T1667274238802,UPI
1000,2015860,1529623,C60298941667274014882,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2022862,29903282521,2022862T1667274115569,UPI
2000,1426714,1437624,C59965621667274579142,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1437674,29903282521,1437674T1667274695833,UPI
1000,2341212,2381171,C61210941667274940288,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381191,29903282521,2381191T1667275059592,UPI
1000,1886397,1889197,C60844491667275570650,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1889261,29903282521,1889261T1667275734013,UPI
2000,2341409,2381213,C61211001667275906847,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381249,29903282521,2381249T1667276067027,UPI
4000,1551546,1418005,C60001761667276136377,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1565853,29903282521,1565853T1667276219262,UPI
1000,2070676,1418005,C60001761667276647064,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2086876,29903282521,2086876T1667276734812,UPI
2000,1967040,1982753,C60942251667277054909,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2041736,29903282521,2041736T1667277181088,UPI
1000,2070676,2046429,C1891181667277927232,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2092085,29903282521,2092085T1667278053507,UPI
1000,2341212,1711778,C60167881667278027623,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381532,29903282521,2381532T1667279047440,UPI
1000,1962449,1997782,C60783281667278112711,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2003590,29903282521,2003590T1667278239755,UPI
4000,1736358,1823313,C60768411667278120250,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1895815,29903282521,1895815T1667278214991,UPI
2000,1551754,1633600,C60501801667278138951,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1633628,29903282521,1633628T1667278244950,UPI
1000,2015860,2023884,C60983421667278150589,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2023958,29903282521,2023958T1667278236630,UPI
1000,1853806,1873104,C60817621667278181126,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1873975,29903282521,1873975T1667278314433,UPI
2000,1967040,1997782,C60783281667278199233,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2003648,29903282521,2003648T1667278302430,UPI
1000,1962449,1997782,C60783281667278266784,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2003653,29903282521,2003653T1667278371368,UPI
2000,2341409,1846506,C60787771667278338377,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381357,29903282521,2381357T1667278444305,UPI
2000,1551754,1711467,C16094541667278502868,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1717159,29903282521,1717159T1667278610042,UPI
1000,2341212,1953222,C60913771667278851050,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381510,29903282521,2381510T1667278950711,UPI
2000,647505,678314,C1108711667279736482,2022-11-02,2022-11-02,2022-11-01,2022-11-01,678318,29903282521,678318T1667279841282,UPI
250,647765,678314,C1108711667279808970,2022-11-02,2022-11-02,2022-11-01,2022-11-01,692531,29903282521,692531T1667279908409,UPI
2000,1967040,1985868,C60945601667280506538,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1985916,29903282521,1985916T1667280651135,UPI
1000,1565622,1610080,C60453091667281313258,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1610107,29903282521,1610107T1667281403582,UPI
1000,1735955,1765648,C60694191667281452216,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1766606,29903282521,1766606T1667281649482,UPI
1000,1853806,1881570,C60760771667281697192,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1881621,29903282521,1881621T1667281814936,UPI
1000,1776395,1867482,C60811501667281723412,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1867523,29903282521,1867523T1667281811010,UPI
1000,2341212,2309668,C61163681667281770092,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2381861,29903282521,2381861T1667281868093,UPI
4000,1918477,1990388,C60948221667282283798,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1990578,29903282521,1990578T1667282393451,UPI
4000,1918477,1946380,C60904331667282359234,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1962694,29903282521,1962694T1667282449706,UPI
1000,2070676,2060149,C61012261667282878025,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2093285,29903282521,2093285T1667283007028,UPI
1000,2341212,1912121,C60872671667283134352,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2382060,29903282521,2382060T1667283265869,UPI
1000,2070676,1998612,C60957641667283217942,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2093929,29903282521,2093929T1667283320060,UPI
4000,1736358,1855936,C60799011667283298875,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1855968,29903282521,1855968T1667283395095,UPI
1000,1886397,1912169,C60872401667283647246,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1919768,29903282521,1919768T1667283753863,UPI
1000,2104010,2079150,C61030291667284421457,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2124097,29903282521,2124097T1667284530517,UPI
1000,1776395,1816174,C60758951667284428856,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1816182,29903282521,1816182T1667284517419,UPI
2000,1967040,1991622,C60731491667284586228,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1991757,29903282521,1991757T1667284689201,UPI
2000,1967040,1991622,C60731491667284704579,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1991757,29903282521,1991757T1667284803454,UPI
1000,1776395,1807875,C60743121667285211589,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1807899,29903282521,1807899T1667285312828,UPI
1000,1886397,1807875,C60743121667285863651,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1899808,29903282521,1899808T1667285951109,UPI
1000,1776395,1809268,C60747081667286133953,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1809303,29903282521,1809303T1667286236408,UPI
1000,2341212,2368822,C61201531667286284702,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2382278,29903282521,2382278T1667286392698,UPI
1000,2015860,2040583,C60999661667286328436,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2048985,29903282521,2048985T1667286434789,UPI
2000,647505,694451,C25236781667286479180,2022-11-02,2022-11-02,2022-11-01,2022-11-01,694489,29903282521,694489T1667287095185,UPI
1000,2341212,2382265,C61211921667286546911,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2382290,29903282521,2382290T1667286656747,UPI
1000,1917974,1895294,C60834211667286918200,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1932409,29903282521,1932409T1667287018561,UPI
1000,1565622,1540045,C59889551667286976617,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1614944,29903282521,1614944T1667287077979,UPI
4000,1736358,1710447,C60644191667287056872,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1873286,29903282521,1873286T1667287149558,UPI
1000,2070676,2073599,C61025391667287095314,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2073609,29903282521,2073609T1667287185454,UPI
2000,1426714,1551682,C60340011667288051929,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1551714,29903282521,1551714T1667288145782,UPI
1000,1886397,1551682,C60340011667288170037,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1899514,29903282521,1899514T1667288253623,UPI
1000,2015860,2025228,C60974231667288577675,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2025236,29903282521,2025236T1667288718769,UPI
1000,2381393,2330554,C61178081667288601294,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2382424,29903282521,2382424T1667288737371,UPI
2000,1967040,2003707,C60962891667288838508,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2003723,29903282521,2003723T1667288948742,UPI
2000,647505,668261,C38919251667288919656,2022-11-02,2022-11-02,2022-11-01,2022-11-01,668265,29903282521,668265T1667289014422,UPI
4000,1736358,1823257,C60756521667289185527,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1823268,29903282521,1823268T1667289326024,UPI
250,647765,668618,C38746921667289289079,2022-11-02,2022-11-02,2022-11-01,2022-11-01,668624,29903282521,668624T1667289421560,UPI
1000,2104010,1185770,C56659281667289421404,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2111494,29903282521,2111494T1667289533038,UPI
2000,1736176,1797646,C60731691667289886855,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1797655,29903282521,1797655T1667290028865,UPI
4000,1736358,1790216,C60720671667290033699,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1838411,29903282521,1838411T1667290125079,UPI
1000,1886397,1888687,C60842921667290970386,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1888716,29903282521,1888716T1667291109021,UPI
1000,2381393,2382801,C61212611667292995388,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2382844,29903282521,2382844T1667293114676,UPI
250,714932,715874,C1371091667294764173,2022-11-02,2022-11-02,2022-11-01,2022-11-01,715916,29903282521,715916T1667294893510,UPI
2000,2341409,2341946,C61180091667295075698,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383000,29903282521,2383000T1667295229761,UPI
500,647767,692259,C36267421667295563407,2022-11-02,2022-11-02,2022-11-01,2022-11-01,692271,29903282521,692271T1667295690585,UPI
4000,1551546,1545579,C237051667298182554,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1633460,29903282521,1633460T1667298302808,UPI
1000,2381393,2383164,C61213061667298287160,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383198,29903282521,2383198T1667298392429,UPI
4000,2381939,2383226,C61213111667299486009,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383251,29903282521,2383251T1667299712182,UPI
1000,2070676,1938196,C60687911667299737859,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2084992,29903282521,2084992T1667299842098,UPI
1000,1886397,1901997,C60861551667300425421,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1902002,29903282521,1902002T1667300519091,UPI
2000,1892996,1901997,C60861551667300515398,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1902031,29903282521,1902031T1667300617309,UPI
2000,1892996,1920509,C60883011667300911495,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1962995,29903282521,1962995T1667301036576,UPI
4000,1736358,1826809,C60769481667302160818,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1826830,29903282521,1826830T1667302255849,UPI
2000,1426714,1450962,C60102221667302222773,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1451000,29903282521,1451000T1667302316515,UPI
1000,1565622,1620499,C60478351667302400915,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1620544,29903282521,1620544T1667302489411,UPI
2000,1892996,1790287,C895901667304952891,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1901999,29903282521,1901999T1667305059446,UPI
4000,1736358,1895717,C60852131667305213013,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1895765,29903282521,1895765T1667305349842,UPI
2000,2341409,2383554,C61213531667305736413,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383558,29903282521,2383558T1667305934554,UPI
1000,1710919,1729065,C60670181667306252169,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1729303,29903282521,1729303T1667306350054,UPI
1000,1498133,1524613,C60259411667307439729,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1530086,29903282521,1530086T1667307548910,UPI
1000,2381393,2050749,C59947501667307670629,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383686,29903282521,2383686T1667307774616,UPI
4000,2381939,1783399,C60712691667309459935,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383786,29903282521,2383786T1667309561997,UPI
1000,2104010,1743186,C60678411667309622571,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2124926,29903282521,2124926T1667309709736,UPI
1000,2070676,2042676,C61003811667309913425,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2087337,29903282521,2087337T1667310038032,UPI
4000,2236854,2247036,C61101141667310028694,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383847,29903282521,2383847T1667310200507,UPI
1500,647769,695220,C208461667310405932,2022-11-02,2022-11-02,2022-11-01,2022-11-01,695232,29903282521,695232T1667310517567,UPI
250,714932,715967,C417831667310667872,2022-11-02,2022-11-02,2022-11-01,2022-11-01,716010,29903282521,716010T1667310796910,UPI
500,724477,956673,C58560911667310929634,2022-11-02,2022-11-02,2022-11-01,2022-11-01,956676,29903282521,956676T1667311041073,UPI
1000,2381393,2351587,C61187441667311891575,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383964,29903282521,2383964T1667312015746,UPI
2000,2341409,2284216,C61134941667311909138,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2383960,29903282521,2383960T1667312003350,UPI
2000,1892996,1952178,C60910461667311939726,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1952208,29903282521,1952208T1667312036665,UPI
1000,1565622,1545175,C60328571667311957133,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1590125,29903282521,1590125T1667312054564,UPI
4000,2381939,2383952,C61109901667312139181,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384000,29903282521,2384000T1667312352507,UPI
2000,1892996,1952341,C60910901667312325210,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1952353,29903282521,1952353T1667312443708,UPI
1000,2381393,2383982,C61149161667312454100,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384014,29903282521,2384014T1667312637894,UPI
1000,2381393,2322897,C61173671667312760352,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384030,29903282521,2384030T1667312933915,UPI
1000,2381393,2314221,C61167641667313059815,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384044,29903282521,2384044T1667313162474,UPI
1000,2070676,2086768,C61037211667313072598,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2092428,29903282521,2092428T1667313158227,UPI
250,935147,1013802,C59150411667313148309,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1013805,29903282521,1013805T1667313290556,UPI
1000,2381393,2384022,C61214171667313217766,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384063,29903282521,2384063T1667313351204,UPI
2000,1967040,2011995,C60973621667314792863,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2012001,29903282521,2012001T1667314885516,UPI
1000,1735955,1919519,C60880661667315551466,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1931512,29903282521,1931512T1667315667674,UPI
4000,1918477,1765914,C60694821667315697806,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2031261,29903282521,2031261T1667315796941,UPI
250,728097,729550,C417361667315792641,2022-11-02,2022-11-02,2022-11-01,2022-11-01,729567,29903282521,729567T1667315975795,UPI
1000,2381393,2350329,C61185331667315900504,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384194,29903282521,2384194T1667316034966,UPI
1000,2070676,2079870,C61031551667316182101,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2087152,29903282521,2087152T1667316658706,UPI
2000,1967040,1907396,C60849091667316247550,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2010604,29903282521,2010604T1667316353175,UPI
1000,2381393,2369788,C61204241667316274703,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384215,29903282521,2384215T1667316376928,UPI
1000,1853806,1881819,C60835891667316572477,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1881830,29903282521,1881830T1667316679922,UPI
1000,2070676,1823004,C60767361667317084367,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2079089,29903282521,2079089T1667317284948,UPI
1000,1820262,1687236,C60605051667317450781,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1853587,29903282521,1853587T1667317577311,UPI
2000,2341409,2384264,C61214661667318301298,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384287,29903282521,2384287T1667318397071,UPI
1000,2381393,2375589,C61208501667319982406,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384359,29903282521,2384359T1667320139018,UPI
2000,961873,1039096,C20228461667320637930,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1039113,29903282521,1039113T1667320753188,UPI
250,935147,685893,C2311661667320752321,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1009878,29903282521,1009878T1667320987411,UPI
2000,1892996,1954357,C60916911667320820868,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1954385,29903282521,1954385T1667320985415,UPI
2000,2341409,2303478,C61155971667321053734,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384389,29903282521,2384389T1667321152936,UPI
4000,1918477,2003218,C60961431667321262980,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2003226,29903282521,2003226T1667321373840,UPI
2000,647505,707616,C684941667323505154,2022-11-02,2022-11-02,2022-11-01,2022-11-01,707680,29903282521,707680T1667323789695,UPI
4000,1918477,696043,C1301181667323815400,2022-11-02,2022-11-02,2022-11-01,2022-11-01,1999294,29903282521,1999294T1667323921689,UPI
1000,2381393,1795319,C60726461667324390557,2022-11-02,2022-11-02,2022-11-01,2022-11-01,2384508,29903282521,2384508T1667324491313,UPI
4000,1918477,1977018,C60937851667327918982,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1977022,2.31E+11,1977022T1667328018418,UPI
1000,1917974,1820893,C60762531667328467039,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1932944,2.31E+11,1932944T1667328607853,UPI
4000,1736358,1797687,C60731791667329175701,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1797755,2.31E+11,1797755T1667329272378,UPI
4000,1736358,1797687,C60731791667329256727,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1874524,2.31E+11,1874524T1667329348865,UPI
4000,1918477,1797687,C60731791667329308897,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1983081,2.31E+11,1983081T1667329396665,UPI
250,721985,722306,C429381667330338944,2022-11-03,2022-11-03,2022-11-02,2022-11-02,722366,2.31E+11,722366T1667330425327,UPI
1000,2381393,2384642,C61215431667330447490,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2384668,2.31E+11,2384668T1667330550448,UPI
2000,1426714,1553231,C25924941667330449906,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1558808,2.31E+11,1558808T1667330559411,UPI
1000,2381393,2384736,C61215611667333138802,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2384738,2.31E+11,2384738T1667333262501,UPI
1000,2070676,2009830,C60969621667337607492,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2098654,2.31E+11,2098654T1667337754055,UPI
4000,1736358,1823363,C60768521667338421387,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1848280,2.31E+11,1848280T1667338520147,UPI
2000,1736176,1860303,C16117951667349310976,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1867174,2.31E+11,1867174T1667349409593,UPI
250,737177,754495,C20355911667352569663,2022-11-03,2022-11-03,2022-11-02,2022-11-02,754500,2.31E+11,754500T1667352717072,UPI
1000,1776395,1819968,C60761031667352975295,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1820614,2.31E+11,1820614T1667353076444,UPI
250,729592,736513,C1958271667353381904,2022-11-03,2022-11-03,2022-11-02,2022-11-02,736550,2.31E+11,736550T1667353572216,UPI
2000,1551754,1588523,C60398051667355027394,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1669508,2.31E+11,1669508T1667355150717,UPI
4000,1736358,1726054,C60664931667355191109,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1881990,2.31E+11,1881990T1667355281764,UPI
1000,2381393,1726054,C60664931667355434088,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2388100,2.31E+11,2388100T1667355527140,UPI
250,737177,754536,C20320191667356287755,2022-11-03,2022-11-03,2022-11-02,2022-11-02,754539,2.31E+11,754539T1667356397499,UPI
500,647767,705164,C20197931667357406569,2022-11-03,2022-11-03,2022-11-02,2022-11-02,705223,2.31E+11,705223T1667357562390,UPI
250,768662,845794,C58231551667358393571,2022-11-03,2022-11-03,2022-11-02,2022-11-02,845811,2.31E+11,845811T1667358512017,UPI
500,724477,930470,C940301667359815282,2022-11-03,2022-11-03,2022-11-02,2022-11-02,930476,2.31E+11,930476T1667360080065,UPI
2000,1892996,1791401,C60722671667360011371,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1969251,2.31E+11,1969251T1667360104389,UPI
1000,2104010,2080201,C61032261667360312396,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2123847,2.31E+11,2123847T1667360404832,UPI
4000,1918477,1962107,C60921391667361216149,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1975672,2.31E+11,1975672T1667361309675,UPI
2000,2341409,2287068,C61139951667362073829,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2388358,2.31E+11,2388358T1667362160987,UPI
4000,1736358,1765617,C60694001667362964781,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1900843,2.31E+11,1900843T1667363072593,UPI
1000,2381393,2388403,C6999321667365074506,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2388511,2.31E+11,2388511T1667365203752,UPI
1000,2104010,1835423,C60780211667365199386,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2106974,2.31E+11,2106974T1667365300181,UPI
250,935147,960545,C676451667366063531,2022-11-03,2022-11-03,2022-11-02,2022-11-02,960553,2.31E+11,960553T1667366193110,UPI
2000,1426714,1539881,C60062941667366797880,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1539883,2.31E+11,1539883T1667366890041,UPI
1000,1820262,1539881,C60062941667366858298,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1853965,2.31E+11,1853965T1667366949203,UPI
1000,1820262,1680279,C59878761667367020564,2022-11-03,2022-11-03,2022-11-02,2022-11-02,1854254,2.31E+11,1854254T1667367128446,UPI
1000,2381393,2388693,C61217071667367481786,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2388708,2.31E+11,2388708T1667367629053,UPI
1000,2070676,2078094,C61027771667369951477,2022-11-03,2022-11-03,2022-11-02,2022-11-02,2078295,2.31E+11,2078295T1667370055792,UPI
500,647767,692346,C613711667370099030,2022-11-03,2022-11-03,2022-11-02,2022-11-02,692383,2.31E+11,692383T1667370198779,UPI
2000,647505,676308,C40505521667371126011,2022-11-03,2022-11-03,2022-11-02,2022-11-02,686306,2.31E+11,686306T1667371240070,UPI
2000,647505,676348,C40520961667371749944,2022-11-03,2022-11-03,2022-11-02,2022-11-02,676352,2.31E+11,676352T1667372168859,UPI
